user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.1125,1,1,0.0016,8.2,1,1244,1
0.1109,1,1,0.0018,79.94,0,1833,4
0.1790,1,1,0.0175,45.42,0,582456,2
0.1164,1,1,0.0023,68.26,0,4301,10
0.1126,1,1,0.0028,60.31,1,405,3
0.1159,1,1,0.0016,71.82,0,3842,9
0.1706,1,1,0.0023,76.72,0,44567,15
0.1543,1,1,0.0018,76.72,0,48235,15
0.0977,1,1,0.0030,72.5,0,1474,8
0.0867,1,1,0.0016,11.92,0,597,1
0.1636,1,1,0.0016,76.72,0,43950,15
0.1650,1,1,0.0018,76.72,0,43815,15
0.1125,1,1,0.0053,41.7,1,2285,4
0.1123,1,1,0.0030,85.18,0,1866,3
0.1124,1,1,0.0021,45.42,1,466,3
0.1097,1,1,0.0023,39.33,0,1561,3
0.0634,1,1,0.0025,45.42,0,2847,1
0.1146,1,1,0.0030,76.22,0,43169,3
0.1124,1,1,0.0018,-0.95,1,872,1
-0.9142,1,1,0.0102,29.86,1,17659601,1
0.1125,1,1,0.0021,67.08,0,770,1
0.1055,1,1,0.0229,48.13,0,2336,1
0.1014,1,1,0.0021,43.39,0,409,2
0.1007,1,1,0.0065,31.55,1,6461,2
0.1170,1,1,0.0042,59.3,0,21828,9
0.1124,1,1,0.0016,23.43,1,289,1
0.1124,1,1,0.0016,53.37,0,1437,1
0.1125,1,1,0.0032,44.75,1,141,2
0.1124,1,1,0.0016,42.72,0,74,1
0.1653,1,1,0.0028,76.72,0,49489,15
0.0960,1,1,0.0021,71.82,0,10243,1
0.1113,1,1,0.0115,65.73,0,650,1
0.1125,1,1,0.0016,80.28,0,2130,1
0.1037,1,1,0.0016,72.5,0,1555,3
0.1501,1,1,0.0021,76.72,0,58701,15
0.0655,1,1,0.0021,38.48,1,51388,2
0.1706,1,1,0.0028,76.72,0,43961,15
0.1159,1,1,0.0016,71.82,0,3834,9
0.1136,1,1,0.0021,61.33,0,3332,4
0.1016,1,1,0.0016,51.85,0,2587,3
0.1024,1,1,0.0016,79.94,0,2451,13
0.1124,1,1,0.0042,53.37,0,85,2
0.1131,1,1,0.0028,71.82,0,80607,9
0.1159,1,1,0.0025,44.91,0,19170,5
0.1706,1,1,0.0023,76.72,0,44655,15
0.1125,1,1,0.0016,63.66,0,380,3
0.1706,1,1,0.0018,76.72,0,43774,15
0.1852,1,1,0.0065,29.01,1,1614673,7
0.1134,1,1,0.0025,42.72,0,16138,4
0.1706,1,1,0.0021,76.72,0,43773,15
0.1706,1,1,0.0030,76.72,0,45075,15
0.0707,1,1,0.0062,88.06,0,167533,1
0.1126,1,1,0.0023,68.26,0,822,5
0.1698,1,1,0.0018,76.72,0,44130,15
0.0725,1,1,0.0048,64.04,0,1186,1
1.0993,1,1,0.0487,76.72,0,6726798,15
0.1126,1,1,0.0018,50.16,0,2062,2
0.1000,1,1,0.0016,87.05,0,21238,1
0.1131,1,1,0.0025,73.34,0,1810,7
0.0646,1,1,0.0021,72.12,0,31898,3
0.1114,1,1,0.0085,55.91,1,1252,7
0.1155,1,1,0.0018,67.76,0,5649,14
0.1131,1,1,0.0018,73.34,0,964,7
0.1164,1,1,0.0044,59.3,0,6433,9
